year,city,country,avg_temp,7-YEAR MA
1840,Guangzhou,China,20.98,
1841,Guangzhou,China,21.02,
1842,Guangzhou,China,21.16,
1843,Guangzhou,China,21.25,
1844,Guangzhou,China,20.86,
1845,Guangzhou,China,20.84,
1846,Guangzhou,China,21.46,21.08142857
1847,Guangzhou,China,21.07,21.09428571
1848,Guangzhou,China,20.75,21.05571429
1849,Guangzhou,China,21.03,21.03714286
1850,Guangzhou,China,21.21,21.03142857
1851,Guangzhou,China,21.33,21.09857143
1852,Guangzhou,China,21.28,21.16142857
1853,Guangzhou,China,21.78,21.20714286
1854,Guangzhou,China,21.64,21.28857143
1855,Guangzhou,China,21.09,21.33714286
1856,Guangzhou,China,20.6,21.27571429
1857,Guangzhou,China,21.12,21.26285714
1858,Guangzhou,China,21.05,21.22285714
1859,Guangzhou,China,21.28,21.22285714
1860,Guangzhou,China,21.28,21.15142857
1861,Guangzhou,China,21.02,21.06285714
1862,Guangzhou,China,20.4,20.96428571
1863,Guangzhou,China,20.88,21.00428571
1864,Guangzhou,China,20.74,20.95
1865,Guangzhou,China,21.65,21.03571429
1866,Guangzhou,China,21.27,21.03428571
1867,Guangzhou,China,21.57,21.07571429
1868,Guangzhou,China,21.79,21.18571429
1869,Guangzhou,China,21.53,21.34714286
1870,Guangzhou,China,21.73,21.46857143
1871,Guangzhou,China,21.52,21.58
1872,Guangzhou,China,21.68,21.58428571
1873,Guangzhou,China,21.28,21.58571429
1874,Guangzhou,China,21.56,21.58428571
1875,Guangzhou,China,21.47,21.53857143
1876,Guangzhou,China,20.97,21.45857143
1877,Guangzhou,China,21.49,21.42428571
1878,Guangzhou,China,21.58,21.43285714
1879,Guangzhou,China,21.66,21.43
1880,Guangzhou,China,20.87,21.37142857
1881,Guangzhou,China,21.25,21.32714286
1882,Guangzhou,China,21.11,21.27571429
1883,Guangzhou,China,20.77,21.24714286
1884,Guangzhou,China,20.41,21.09285714
1885,Guangzhou,China,20.67,20.96285714
1886,Guangzhou,China,20.71,20.82714286
1887,Guangzhou,China,21.05,20.85285714
1888,Guangzhou,China,21.54,20.89428571
1889,Guangzhou,China,21.39,20.93428571
1890,Guangzhou,China,21.53,21.04285714
1891,Guangzhou,China,21.46,21.19285714
1892,Guangzhou,China,20.92,21.22857143
1893,Guangzhou,China,20.7,21.22714286
1894,Guangzhou,China,21.28,21.26
1895,Guangzhou,China,21.2,21.21142857
1896,Guangzhou,China,21.34,21.20428571
1897,Guangzhou,China,21.36,21.18
1898,Guangzhou,China,21.52,21.18857143
1899,Guangzhou,China,21.25,21.23571429
1900,Guangzhou,China,21.22,21.31
1901,Guangzhou,China,21.34,21.31857143
1902,Guangzhou,China,22.07,21.44285714
1903,Guangzhou,China,21.13,21.41285714
1904,Guangzhou,China,21.27,21.4
1905,Guangzhou,China,21.09,21.33857143
1906,Guangzhou,China,21.41,21.36142857
1907,Guangzhou,China,21.41,21.38857143
1908,Guangzhou,China,21.28,21.38
1909,Guangzhou,China,21.62,21.31571429
1910,Guangzhou,China,21.3,21.34
1911,Guangzhou,China,21.41,21.36
1912,Guangzhou,China,21.32,21.39285714
1913,Guangzhou,China,21.2,21.36285714
1914,Guangzhou,China,22.09,21.46
1915,Guangzhou,China,21.93,21.55285714
1916,Guangzhou,China,21.23,21.49714286
1917,Guangzhou,China,20.87,21.43571429
1918,Guangzhou,China,21.18,21.40285714
1919,Guangzhou,China,21.69,21.45571429
1920,Guangzhou,China,21.48,21.49571429
1921,Guangzhou,China,21.6,21.42571429
1922,Guangzhou,China,21.73,21.39714286
1923,Guangzhou,China,21.98,21.50428571
1924,Guangzhou,China,21.74,21.62857143
1925,Guangzhou,China,21.26,21.64
1926,Guangzhou,China,21.46,21.60714286
1927,Guangzhou,China,21.47,21.60571429
1928,Guangzhou,China,21.93,21.65285714
1929,Guangzhou,China,21.83,21.66714286
1930,Guangzhou,China,21.54,21.60428571
1931,Guangzhou,China,21.54,21.57571429
1932,Guangzhou,China,21.42,21.59857143
1933,Guangzhou,China,21.65,21.62571429
1934,Guangzhou,China,21.17,21.58285714
1935,Guangzhou,China,21.75,21.55714286
1936,Guangzhou,China,21.22,21.47
1937,Guangzhou,China,22.02,21.53857143
